Title,Author,Year
POPULATION ISSUES: Studies from Uttar Pradesh and Bihar,"Harihar Sahoo,0
TRIBAL SITUATION IN INDIA: Issues and Development (Second Revised Edition),Vidyut Joshi and Chandrakant Upadhyaya (eds),2017
EMERGING CHALLENGES OF GLOBALIZATION AND DEVELOPMENT,Surinder Kumar and Fahimuddin (Eds),2017
TAMING INDIAN INFLATION,Rahul Anand and Paul Cashin (eds),2017
SOCIETY AND DEVELOPMENT:  Regional Perspectives,Surjit Singh and Dhruv Raina (eds),2016
"GROUNDWATER GOVERNANCE: Development, Degradation & Management ",0
DAMS AND DEVELOPMENT IN INDIA,Arun Kumar Nayak,2016
WOMEN EMPOWERMENT AND DEVELOPMENT: Readings from Asia,Sameera Maiti (Ed.),2016
KEY ISSUES IN DEVELOPMENT STUDIES: From the Local to the Global,Gerard McCann And Stephen McCloskey (Eds),2015
"DIASPORA, DEVELOPMENT AND DISTRESS: Indians in the Persian Gulf",0
SOCIAL DEVELOPMENT IN ASIA: Diversity and Implications,Murli Desai ,2015
DEVELOPMENT AND ITS DISCONTENTS,Subhash Sharma ,2015
CRISES OF SOCIAL TRANSFORMATION IN INDIA,S.R. Ahlawat & Neerja Ahlawat (Eds) ,2015
MIGRATION: The Boundaries of Equality and Justice ,Bill Jordan and Frank D,2015
DEVELOPMENT STUDIES,Jeffery Haynes ,2015
DEVELOPMENT AND DISCONTENT IN TRIBAL INDIA,Yatindra Singh Sisodia and Tapas Kumar Dalapati (Eds) ,2015
SOCIAL DEVELOPMENT IN INDIA: Critical Assessment,Chhaya Patel ,2015
NON-GOVERNMENTAL ORGANIZATIONS: Origin and Development,"Suresh Chandra,0
SUSTAINABLE DEVELOPMENT: Local Issues and Global Agendas,R.B. Patil ,2014
"GOVERNANCE, DEVELOPMENT,0
RESOURCES AND REGIONAL DEVELOPMENT IN INDIA: Festschrift in Honour of Professor Baleshwar Thakur,"Rameshwar Thakur,0
"POLITY, CIVIL SOCIETY AND DEVELOPMENT: Modernization,0
"RESOURCES, TRIBES AND DEVELOPMENT: Competing Interests and Contours of Possibilities",0
"SOCIAL DEVELOPMENT, SOCIAL INEQUALITIES,0
RURAL GOVERNANCE: International Perspectives,"Lynda Cheshire,0
DEMOCRATIC GOVERNANCE AND HUMAN DEVELOPMENT : Stocktaking and Future Strategies  ,Yatindra Singh Sisodia (Ed.) ,2013
"DEVELOPMENT, GLOBALIZATION AND WOMEN",0
